Player,Pos,G,A,PIM,PPG,SHG,GWG,PP,SH,SOG,FOW,FOL,BLK,HIT,-9999
Connor McDavid,C,64,89,36,21,4,11,50,3,352,525,486,40,89,mcdavco01
Leon Draisaitl,C,52,76,24,32,1,11,30,1,247,807,663,40,66,draisle01
Nikita Kucherov,RW,30,83,36,8,0,4,42,0,271,2,0,28,61,kucheni01
David Pastrňák,RW,61,52,38,18,0,13,19,0,407,8,11,33,91,pastrda01
Nathan MacKinnon,C,42,69,30,12,0,9,22,0,366,519,649,40,53,mackina01
Jason Robertson,LW,46,63,20,13,0,7,28,0,313,0,1,19,57,roberja01
Matthew Tkachuk,LW,40,69,123,14,0,6,22,1,322,13,16,31,68,tkachma01
Mikko Rantanen,RW,55,50,82,13,0,9,24,0,306,222,231,41,77,rantami01
Ryan Nugent-Hopkins,C,37,67,35,15,1,3,38,3,201,308,374,26,48,nugenry01
Elias Pettersson,C,39,63,14,6,5,6,19,4,257,442,555,89,74,petteel01
Erik Karlsson,D,25,76,36,5,0,4,22,0,209,0,1,90,33,karlser01
Jack Hughes,C,43,56,6,9,0,6,22,0,336,164,300,30,12,hugheja03
Mitch Marner,RW,30,69,28,9,4,4,27,1,196,0,4,45,53,marnemi01
Brayden Point,C,51,44,7,20,0,9,10,0,235,417,405,37,37,pointbr01
Tage Thompson,C,47,47,39,20,1,7,14,0,295,350,463,26,55,thompta01
Sidney Crosby,C,33,60,52,9,0,9,18,0,255,978,868,47,71,crosbsi01
Artemi Panarin,LW,29,63,36,9,0,4,27,0,204,6,13,11,26,panarar01
Mika Zibanejad,C,39,52,20,20,1,5,19,1,251,692,706,48,71,zibanmi01
Tim Stützle,LW,39,51,54,10,3,3,18,0,228,202,284,49,114,stuetti02
William Nylander,C,40,47,28,9,0,5,19,0,293,25,34,26,18,nylanwi01
Clayton Keller,C,37,49,49,6,1,4,14,0,223,22,41,34,18,kellecl01
Auston Matthews,C,40,45,20,13,0,8,15,0,327,550,499,92,78,matthau01
Steven Stamkos,C,34,50,46,14,0,6,21,0,240,501,430,51,92,stamkst01
Zach Hyman,LW,36,47,39,15,0,3,11,0,276,6,6,19,77,hymanza01
Evgeni Malkin,C,27,56,82,11,0,3,25,0,240,422,434,33,53,malkiev01
Brady Tkachuk,LW,35,48,126,11,0,6,18,0,347,370,395,9,242,tkachbr01
J.T. Miller,C,32,50,60,11,5,3,19,4,223,487,399,51,200,millejt01
Jeff Skinner,LW,35,47,39,8,0,3,13,0,242,142,158,14,21,skinnje01
Kyle Connor,LW,31,49,20,8,0,8,21,0,273,2,5,24,43,connoky01
Nico Hischier,C,31,49,10,7,3,9,12,1,256,891,763,61,34,hischni01
John Tavares,C,36,44,34,18,0,9,21,0,277,726,519,36,112,tavarjo01
Claude Giroux,C,35,44,34,7,0,6,17,1,214,712,509,30,75,giroucl01
Dylan Larkin,C,32,47,45,16,1,5,15,0,244,737,618,27,47,larkidy01
Alex Tuch,RW,36,43,20,8,1,9,12,0,218,32,43,46,54,tuchal01
Aleksander Barkov,C,23,55,8,8,1,6,22,1,208,731,601,48,52,barkoal01
Jamie Benn,LW,33,45,34,13,2,4,17,1,190,520,345,38,97,bennja01
Joe Pavelski,C,28,49,8,13,0,2,14,1,184,368,321,64,93,paveljo01
Quinn Hughes,D,7,69,34,2,0,0,32,1,154,0,0,71,29,hughequ01
Josh Morrissey,D,16,60,41,2,0,6,26,0,172,0,0,119,89,morrijo04
Roope Hintz,LW,37,38,30,9,3,5,12,0,184,249,230,45,47,hintzro01
Kirill Kaprizov,LW,40,35,45,17,0,6,15,0,261,2,3,28,66,kapriki01
Brock Nelson,C,36,39,24,6,0,8,11,0,222,490,547,43,50,nelsobr01
Alex Ovechkin,LW,42,33,48,14,0,3,11,0,294,4,5,23,188,ovechal01
Johnny Gaudreau,LW,21,53,22,3,0,4,21,0,220,0,0,18,5,gaudrjo01
Dougie Hamilton,D,22,52,50,8,0,7,20,0,275,0,0,86,64,hamildo01
Anže Kopitar,C,28,46,4,7,0,4,13,1,169,899,709,87,68,kopitan01
Andrei Kuzmenko,F,39,35,8,14,0,4,5,0,143,0,1,18,13,kuzmean01
Jesper Bratt,W,32,41,6,8,0,3,14,0,212,0,0,23,24,brattje01
Rasmus Dahlin,D,15,58,92,6,0,2,26,0,204,0,0,132,105,dahlira01
Jake Guentzel,C,36,37,46,11,0,6,12,0,244,8,8,46,83,guentja01
Miro Heiskanen,D,11,62,32,2,0,2,32,1,206,0,0,96,49,heiskmi01
Jordan Kyrou,C,37,36,22,11,0,5,12,1,272,5,9,35,14,kyroujo01
Brandon Montour,D,16,57,107,3,0,5,30,0,242,0,0,93,92,montobr01
Tyler Toffoli,C,34,39,28,10,0,4,15,0,268,7,5,14,59,toffoty01
Carter Verhaeghe,C,42,31,46,7,0,2,6,0,275,20,21,31,29,verhaca01
Kevin Fiala,LW,23,49,52,7,0,2,17,0,208,8,8,18,53,fialake01
Adam Fox,D,12,60,34,1,0,5,28,3,159,0,0,125,25,foxad01
Martin Nečas,C,28,43,32,9,0,5,17,1,240,188,229,21,57,necasma01
Jared McCann,C,40,30,14,7,3,3,9,0,210,26,52,28,65,mccanja01
Bo Horvat,C,38,32,18,12,4,5,10,1,229,958,727,55,57,horvabo01
Bo Horvat,C,31,23,12,11,3,4,7,1,143,625,491,30,37,horvabo01
Bo Horvat,C,7,9,6,1,1,1,3,0,86,333,236,25,20,horvabo01
Dylan Cozens,C,31,37,41,5,2,1,13,1,211,567,607,30,55,cozendy01
Mark Scheifele,C,42,26,43,12,0,10,10,0,206,579,628,38,50,scheima01
Sebastian Aho,F,36,31,42,7,3,9,8,1,218,531,503,21,59,ahose01
Pavel Buchnevich,LW,26,41,36,8,0,2,13,2,123,64,150,23,54,buchnpa01
Logan Couture,C,27,40,19,5,1,4,15,0,198,640,709,70,128,coutulo01
Adrian Kempe,LW,41,26,55,11,3,6,9,0,250,16,35,32,119,kempead01
Brad Marchand,LW,21,46,74,9,0,4,20,1,183,22,35,22,81,marchbr03
Sam Reinhart,C,31,36,12,16,0,5,11,3,227,236,230,49,58,reinhsa01
Mats Zuccarello,LW,22,45,26,9,0,3,20,0,198,24,36,51,51,zuccama01
Alex DeBrincat,RW,27,39,45,11,0,6,19,0,263,10,9,38,109,debrial01
Jack Eichel,C,27,39,6,2,0,2,12,1,223,359,434,56,59,eicheja01
Cale Makar,D,17,49,30,5,0,6,25,0,176,0,0,78,65,makarca01
Nick Suzuki,C,26,40,33,7,3,2,10,0,162,663,738,56,50,suzukni01
Timo Meier,RW,40,26,43,17,0,5,6,0,327,21,36,37,154,meierti01
Timo Meier,RW,31,21,25,13,0,4,5,0,255,21,31,26,112,meierti01
Timo Meier,RW,9,5,18,4,0,1,1,0,72,0,5,11,42,meierti01
Brayden Schenn,C,21,44,50,6,0,3,9,0,144,472,542,41,140,schenbr01
Chandler Stephenson,C,16,49,26,6,1,5,9,2,120,675,487,56,74,stephch02
Dylan Strome,C,23,42,24,3,0,2,18,0,154,528,554,43,20,stromdy01
Robert Thomas,C,18,47,22,5,1,2,17,0,106,646,575,29,15,thomaro01
Trevor Zegras,C,23,42,88,4,0,3,13,0,184,237,336,29,46,zegratr01
Vince Dunn,D,14,50,55,0,0,2,15,0,149,0,0,80,115,dunnvi02
Brandon Hagel,LW,30,34,54,7,1,3,6,2,178,23,58,58,68,hagelbr01
Alex Killorn,C,27,37,45,3,1,5,9,1,143,1,1,31,61,killoal01
Elias Lindholm,C,22,42,14,10,1,2,11,2,186,857,681,50,98,lindhel01
Mikhail Sergachev,D,10,54,53,3,0,2,24,1,156,0,0,149,128,sergami01
Vincent Trocheck,C,22,42,58,9,0,3,8,0,225,721,565,44,182,trochvi01
Matt Boldy,LW,31,32,39,8,0,5,18,0,255,77,64,26,65,boldyma01
Pierre-Luc Dubois,LW,27,36,77,11,0,1,12,0,205,483,505,47,71,duboipi01
Jordan Eberle,RW,20,43,34,3,0,4,12,0,177,34,43,25,44,eberljo01
Tomáš Hertl,C,22,41,42,6,0,1,16,0,183,792,653,57,91,hertlto01
Drake Batherson,C,22,40,33,14,0,2,15,0,249,13,25,35,115,bathedr01
Brent Burns,D,18,43,44,4,0,2,19,0,255,1,0,86,40,burnsbr01
Joel Eriksson Ek,C,23,38,44,12,2,1,11,1,247,684,702,55,119,eriksjo02
Travis Konecny,C,31,30,77,5,3,5,10,3,191,28,32,38,55,konectr01
Troy Terry,C,23,38,22,5,0,3,7,0,188,2,0,23,12,terrytr01
Rickard Rakell,RW,28,32,16,11,0,2,10,0,243,10,11,53,141,rakelri01
Viktor Arvidsson,LW,26,33,24,10,1,2,15,0,228,27,40,48,25,arvidvi01
Roman Josi,D,18,41,36,8,0,5,16,0,269,0,0,146,51,josiro01
Casey Mittelstadt,C,15,44,22,4,1,2,12,0,135,338,398,16,30,mitteca01
Patrice Bergeron,C,27,31,22,9,2,7,10,0,249,1043,663,54,66,bergepa01
Nick Schmaltz,C,22,36,20,6,0,2,6,1,132,40,60,28,12,schmani01
Matty Beniers,C,24,33,2,4,0,4,6,1,148,409,560,48,79,beniema01
Jonathan Marchessault,C,28,29,21,9,0,4,7,0,234,21,35,17,76,audymjo01
Pavel Zacha,C,21,36,16,3,0,3,5,1,131,134,162,21,67,zachapa01
Patrick Kane,RW,21,36,16,4,0,1,18,0,227,1,1,19,13,kanepa01
Patrick Kane,RW,16,29,10,2,0,0,16,0,182,1,0,10,10,kanepa01
Patrick Kane,RW,5,7,6,2,0,1,2,0,45,0,1,9,3,kanepa01
Mikael Backlund,C,19,37,36,5,1,2,7,3,260,705,681,31,97,backlmi01
Matt Duchene,C,22,34,32,5,0,3,8,0,168,137,122,32,27,duchema01
Nazem Kadri,C,24,32,56,11,0,4,8,0,267,586,648,31,99,kadrina01
David Krejčí,C,16,40,20,4,0,2,8,0,112,351,389,38,41,krejcda01
Dawson Mercer,C,27,29,14,2,1,6,8,1,161,70,95,63,36,merceda01
David Perron,LW,24,32,52,6,0,3,16,0,195,2,9,24,107,perroda01
Reilly Smith,RW,26,30,16,6,4,4,4,0,180,4,3,32,69,smithre01
Max Domi,LW,20,36,82,8,0,4,11,0,179,510,440,24,22,domima01
Max Domi,LW,18,31,76,8,0,4,10,0,143,445,383,18,16,domima01
Max Domi,LW,2,5,6,0,0,0,1,0,36,65,57,6,6,domima01
Brock Boeser,RW,18,37,24,6,0,3,10,0,178,22,35,32,49,boesebr01
Jonathan Huberdeau,LW,15,40,36,4,0,1,11,0,126,5,10,27,65,huberjo01
Evgeny Kuznetsov,C,12,43,56,5,0,2,13,0,172,508,561,29,43,kuzneev01
Andrei Svechnikov,RW,23,32,71,5,0,4,11,0,205,4,5,17,140,svechan01
Blake Wheeler,RW,16,39,46,7,0,6,8,0,126,65,61,35,54,wheelbl01
Tyson Barrie,D,13,42,36,4,0,1,27,1,163,0,0,90,55,barrity01
Tyson Barrie,D,10,33,26,4,0,0,24,0,115,0,0,68,43,barrity01
Tyson Barrie,D,3,9,10,0,0,1,3,1,48,0,0,22,12,barrity01
Phillip Danault,C,18,36,63,3,0,1,17,2,152,692,581,75,81,danauph01
Kevin Hayes,RW,18,36,23,6,0,1,10,0,209,334,342,22,52,hayeske01
Chris Kreider,LW,36,18,26,8,4,3,9,0,229,38,46,24,128,kreidch01
Alex Pietrangelo,D,11,43,16,1,0,3,13,2,170,1,0,177,65,pietral01
William Karlsson,C,14,39,10,2,2,2,7,3,161,632,510,50,50,karlswi01
Hampus Lindholm,D,10,43,56,1,0,2,16,0,158,0,0,100,78,lindhha01
J.T. Compher,LW,17,35,33,5,0,3,9,0,154,813,852,82,37,comphj.01
Drew Doughty,D,9,43,34,4,0,2,23,0,145,0,0,104,115,doughdr01
Patrik Laine,RW,22,30,16,8,0,1,8,0,184,28,52,27,27,lainepa01
Charlie McAvoy,D,7,45,54,2,0,2,17,0,105,0,0,131,84,mcavoch01
Mathew Barzal,C,14,37,22,4,0,5,15,0,139,104,188,34,25,barzama01
Artturi Lehkonen,LW,21,30,28,8,1,3,12,0,150,4,19,43,93,lehkoar01
Jake DeBrusk,LW,27,23,16,6,0,6,8,1,191,4,11,22,85,debruja01
Justin Faulk,D,11,39,34,2,0,3,8,0,196,0,0,140,112,faulkju01
Anders Lee,LW,28,22,50,6,0,4,8,0,214,27,23,57,125,leean01
Tyler Seguin,C,21,29,24,7,1,3,4,1,189,476,394,23,84,seguity01
Devon Toews,D,7,43,26,1,0,0,6,0,165,0,0,138,93,toewsde01
Vladimir Tarasenko,RW,18,32,8,3,1,1,11,0,169,0,2,36,75,tarasvl01
Vladimir Tarasenko,RW,10,19,8,2,1,0,7,0,103,0,2,15,44,tarasvl01
Vladimir Tarasenko,RW,8,13,0,1,0,1,4,0,66,0,0,21,31,tarasvl01
Rasmus Andersson,D,11,38,26,1,1,4,20,1,159,0,0,136,50,anderra01
Michael Bunting,LW,23,26,103,7,0,4,3,0,174,1,1,18,85,buntimi01
Noah Dobson,D,13,36,20,5,0,2,14,0,206,0,0,104,60,dobsono01
Victor Hedman,D,9,40,42,1,1,1,13,2,185,0,0,136,95,hedmavi01
Matias Maccelli,LW,11,38,18,1,0,1,12,0,61,0,7,20,24,maccema01
Owen Tippett,RW,27,22,16,8,0,4,4,0,231,19,11,69,125,tippeow01
Cam Fowler,D,10,38,14,4,0,1,10,0,130,0,0,104,18,fowleca01
Yanni Gourde,C,14,34,76,3,1,2,1,0,141,483,489,54,118,gourdya01
Tomáš Tatar,LW,20,28,30,1,0,1,3,0,153,17,26,30,65,tatarto01
Jason Zucker,LW,27,21,47,2,0,5,7,0,197,4,11,29,197,zuckeja01
Alexander Barabanov,F,15,32,20,3,0,2,10,0,120,1,2,37,40,barabal01
Valeri Nichushkin,RW,17,30,2,10,1,2,6,2,158,0,4,37,54,nichuva01
Morgan Frost,C,19,27,24,1,0,3,4,0,155,436,515,53,85,frostmo01
Conor Garland,RW,17,29,31,2,0,2,10,0,167,3,11,20,47,garlaco01
Bryan Rust,RW,20,26,31,2,0,2,9,1,211,5,5,50,98,rustbr01
Daniel Sprong,RW,21,25,14,6,0,3,8,0,147,2,3,17,33,spronda01
Marcus Johansson,C,19,27,8,5,2,7,13,0,137,23,29,23,26,johanma03
Marcus Johansson,C,13,15,8,4,1,5,9,0,95,18,26,16,25,johanma03
Marcus Johansson,C,6,12,0,1,1,2,4,0,42,5,3,7,1,johanma03
Oliver Bjorkstrand,RW,20,25,16,5,0,1,5,0,198,18,41,38,63,bjorkol01
Filip Chytil,C,22,23,30,3,0,4,2,0,177,251,380,38,36,chytifi01
Charlie Coyle,C,16,29,30,0,1,0,0,4,139,536,483,63,68,coylech01
Lawson Crouse,LW,24,21,35,6,0,3,2,0,151,33,49,58,194,crousla01
Dillon Dubé,C,18,27,47,1,2,3,3,0,151,45,55,21,136,dubedi01
Boone Jenner,C,26,19,51,7,0,3,4,0,214,758,628,70,129,jennebo01
Dominik Kubalík,LW,20,25,24,7,0,3,10,0,174,17,18,26,89,kubaldo01
Lucas Raymond,LW,17,28,24,5,0,4,14,0,134,5,12,20,43,raymolu01
Ivan Barbashev,C,16,29,42,2,0,2,3,1,126,55,89,46,182,barbaiv01
Ivan Barbashev,C,10,19,36,0,0,1,3,0,91,51,83,28,132,barbaiv01
Ivan Barbashev,C,6,10,6,2,0,1,0,1,35,4,6,18,50,barbaiv01
Jack Roslovic,C,11,33,10,2,2,2,7,1,123,400,489,53,42,rosloja01
Barrett Hayton,C,19,24,42,4,0,4,6,1,178,628,602,33,83,haytoba01
Jesperi Kotkaniemi,C,18,25,50,3,1,2,8,0,129,360,340,21,105,kotkaje01
Scott Laughton,C,18,25,50,5,3,0,4,4,170,509,568,57,156,laughsc01
Eetu Luostarinen,C,17,26,28,2,0,1,3,1,132,175,243,51,64,luostee01
Andrew Mangiapane,LW,17,26,40,2,0,1,2,2,182,5,9,26,86,mangian01
Mason McTavish,C,17,26,44,7,0,1,7,0,161,307,418,37,55,mctavma01
K'Andre Miller,D,9,34,47,0,0,2,3,2,113,0,0,105,162,milleka01
Thomas Novak,C,17,26,8,5,0,3,7,0,93,179,223,23,9,novakth01
Darnell Nurse,D,12,31,64,0,2,4,1,1,203,0,0,164,146,nurseda01
Andrew Copp,C,9,33,25,1,1,2,4,0,120,647,652,45,32,coppan01
