Player,Pos,G,A,PIM,PPG,SHG,GWG,PP,SH,SOG,FOW,FOL,BLK,HIT,-9999
Josh Morrissey,D,10,59,44,2,0,1,17,0,196,0,0,103,90,morrijo04
Brock Nelson,C,34,35,28,9,1,2,10,1,250,356,431,47,38,nelsobr01
Ryan O'Reilly,C,26,43,18,14,0,1,14,0,180,828,708,56,26,oreilry01
Jack Eichel,C,31,37,27,11,0,7,11,2,278,413,495,61,26,eicheja01
Bo Horvat,C,33,35,39,10,1,6,8,1,248,765,654,42,61,horvabo01
Travis Konecny,C,33,35,67,4,6,5,5,1,244,39,58,32,90,konectr01
Alex DeBrincat,RW,27,40,34,11,0,1,8,0,237,16,22,35,66,debrial01
Nico Hischier,C,27,40,12,6,1,4,11,0,182,785,602,42,44,hischni01
Seth Jarvis,C,33,34,14,13,2,9,7,1,176,157,195,52,115,jarvise01
Jordan Kyrou,C,31,36,22,8,0,4,13,0,251,3,6,32,26,kyroujo01
Evgeni Malkin,C,27,40,70,6,0,2,12,0,199,389,412,42,29,malkiev01
Brad Marchand,LW,29,38,78,7,3,6,19,1,207,24,31,35,115,marchbr03
Ryan Nugent-Hopkins,C,18,49,36,4,0,3,22,3,183,236,256,33,62,nugenry01
Joe Pavelski,C,27,40,20,11,0,4,10,0,194,355,340,70,75,paveljo01
Dylan Strome,C,27,40,22,6,0,5,16,0,169,697,623,61,12,stromdy01
Drake Batherson,C,28,38,42,7,0,4,15,0,196,38,55,33,98,bathedr01
Cole Caufield,RW,28,37,16,9,0,7,12,0,314,7,9,22,56,caufico01
Matt Duchene,C,25,40,20,6,0,7,10,0,172,360,277,48,30,duchema01
Roope Hintz,LW,30,35,22,8,3,6,11,1,182,318,248,38,36,hintzro01
Wyatt Johnston,C,32,33,38,3,3,3,7,0,216,318,316,42,52,johnswy01
Alex Ovechkin,LW,31,34,20,13,0,5,15,0,272,0,2,27,162,ovechal01
John Tavares,C,29,36,30,9,0,6,11,0,279,802,550,37,134,tavarjo01
Joel Eriksson Ek,C,30,34,60,12,1,5,9,0,267,796,806,55,169,eriksjo02
Claude Giroux,C,21,43,26,3,2,2,16,1,183,668,484,30,40,giroucl01
Pavel Buchnevich,LW,27,36,48,8,2,5,10,1,207,77,129,28,43,buchnpa01
Mats Zuccarello,LW,12,51,30,5,0,1,28,0,173,27,45,50,26,zuccama01
Mike Matheson,D,11,51,58,5,2,0,23,0,187,0,0,186,61,mathemi01
Jared McCann,C,29,33,31,9,2,3,14,0,216,147,160,27,45,mccanja01
Connor Bedard,C,22,39,28,4,0,2,17,0,206,207,325,27,54,bedarco01
Kyle Connor,LW,34,27,6,5,0,10,14,0,221,2,5,19,14,connoky01
Nikolaj Ehlers,LW,25,36,29,0,0,7,7,0,233,4,11,39,30,ehlerni01
Nick Schmaltz,C,22,39,10,10,1,3,11,0,158,164,236,41,16,schmani01
Jamie Benn,LW,21,39,41,7,1,3,15,2,164,436,276,50,110,bennja01
Charlie Coyle,C,25,35,38,7,1,5,4,4,147,762,715,60,131,coylech01
Johnny Gaudreau,LW,12,48,22,1,0,3,17,0,160,0,1,23,2,gaudrjo01
Mikael Granlund,C,12,48,32,1,0,1,22,1,134,492,560,55,62,granlmi01
William Karlsson,C,30,30,22,7,1,2,8,1,175,547,426,46,43,karlswi01
Frank Vatrano,LW,37,23,85,13,3,7,7,1,272,9,18,78,156,vatrafr01
Oliver Bjorkstrand,RW,20,39,12,8,0,3,17,0,186,9,19,29,67,bjorkol01
Rasmus Dahlin,D,20,39,66,6,0,2,14,0,235,0,0,154,195,dahlira01
Yegor Sharangovich,C,31,28,8,6,3,4,11,4,179,133,208,44,13,sharaye01
Alex Tuch,RW,22,37,54,2,1,7,9,0,192,42,63,82,72,tuchal01
Pavel Zacha,C,21,38,18,6,0,6,9,0,148,585,483,34,106,zachapa01
Sean Monahan,C,26,33,12,9,2,5,12,0,171,698,574,44,29,monahse01
Sean Monahan,C,13,22,10,6,2,3,10,0,104,399,326,24,17,monahse01
Sean Monahan,C,13,11,2,3,0,2,2,0,67,299,248,20,12,monahse01
Morgan Rielly,D,7,51,27,1,0,0,19,0,173,0,0,137,98,riellmo01
Alexis Lafrenière,LW,28,29,40,2,0,5,4,0,217,17,49,21,73,lafreal01
Matias Maccelli,LW,17,40,8,2,0,2,10,1,149,6,10,20,25,maccema01
Trevor Moore,LW,31,26,28,2,2,5,5,0,244,14,34,58,92,mooretr01
Zach Werenski,D,11,46,22,2,0,0,10,0,202,0,0,130,23,werenza01
Casey Mittelstadt,C,18,39,32,3,0,1,6,0,127,529,595,31,25,mitteca01
Casey Mittelstadt,C,14,33,28,2,0,1,6,0,102,426,478,23,14,mitteca01
Casey Mittelstadt,C,4,6,4,1,0,0,0,0,25,103,117,8,11,mitteca01
Jonathan Drouin,LW,19,37,28,5,0,2,14,0,127,44,41,33,41,drouijo01
Shayne Gostisbehere,D,10,46,16,2,0,2,27,0,139,0,0,75,29,gostish01
Erik Karlsson,D,11,45,44,2,0,4,15,0,213,0,0,99,40,karlser01
Bryan Rust,RW,28,28,20,3,1,3,6,0,196,2,6,51,47,rustbr01
Tage Thompson,C,29,27,43,9,2,3,7,0,246,372,487,29,79,thompta01
Quinton Byfield,C,20,35,42,6,0,4,8,0,161,41,49,19,66,byfiequ01
Tyler Toffoli,C,33,22,14,11,0,4,7,0,229,27,44,11,75,toffoty01
Tyler Toffoli,C,26,18,12,8,0,2,6,0,179,25,39,8,62,toffoty01
Tyler Toffoli,C,7,4,2,3,0,2,1,0,50,2,5,3,13,toffoty01
Vladimir Tarasenko,RW,23,32,12,3,0,5,6,0,155,4,3,39,85,tarasvl01
Vladimir Tarasenko,RW,17,24,12,2,0,4,6,0,116,4,3,30,54,tarasvl01
Vladimir Tarasenko,RW,6,8,0,1,0,1,0,0,39,0,0,9,31,tarasvl01
Michael Bunting,LW,19,36,57,7,0,3,14,0,168,7,16,21,49,buntimi01
Michael Bunting,LW,13,23,55,6,0,1,10,0,113,6,16,15,25,buntimi01
Michael Bunting,LW,6,13,2,1,0,2,4,0,55,1,0,6,24,buntimi01
Blake Coleman,C,30,24,76,3,4,7,0,2,191,31,38,57,128,colembl01
Miro Heiskanen,D,9,45,36,2,0,2,19,0,162,0,0,97,55,heiskmi01
Philipp Kurashev,C,18,36,23,6,0,3,13,0,128,127,147,48,27,kurasph01
Kyle Palmieri,RW,30,24,26,10,0,8,10,0,218,13,21,42,89,palmiky01
Troy Terry,C,20,34,24,4,0,5,9,0,172,6,12,30,17,terrytr01
Mason Marchment,F,22,31,54,6,0,3,5,0,150,4,5,34,108,marchma01
Martin Nečas,C,24,29,42,8,0,3,5,0,231,47,91,31,77,necasma01
Valeri Nichushkin,RW,28,25,22,16,0,6,5,2,158,2,5,24,74,nichuva01
Mark Stone,RW,16,37,22,4,2,5,10,2,117,0,4,40,34,stonema01
Teuvo Teräväinen,F,25,28,10,9,1,4,8,3,142,66,74,26,16,teravte01
Owen Tippett,RW,28,25,12,5,0,4,3,0,289,19,26,47,148,tippeow01
John Carlson,D,10,42,40,6,0,5,15,0,176,0,0,194,69,carlsjo01
Jonathan Huberdeau,LW,12,40,49,4,0,2,15,0,143,15,16,37,60,huberjo01
Timo Meier,RW,28,24,45,10,0,4,7,0,207,44,46,42,111,meierti01
Tyler Seguin,C,25,27,26,3,0,3,5,2,154,342,266,22,61,seguity01
Andrei Svechnikov,RW,19,33,58,5,0,8,12,0,144,4,4,22,142,svechan01
MacKenzie Weegar,D,20,32,51,3,0,2,12,2,208,0,0,200,194,weegama01
Kris Letang,D,10,41,62,0,0,2,5,1,164,0,0,136,137,letankr01
Chandler Stephenson,C,16,35,25,4,2,4,9,1,97,552,498,40,43,stephch02
Adam Henrique,C,24,27,37,5,2,4,5,3,140,577,506,78,99,henriad01
Adam Henrique,C,18,24,33,5,2,3,5,3,111,482,429,57,59,henriad01
Adam Henrique,C,6,3,4,0,0,1,0,0,29,95,77,21,40,henriad01
Drew Doughty,D,15,35,44,7,0,3,13,0,135,0,0,142,109,doughdr01
Joel Farabee,LW,22,28,37,2,0,2,5,0,182,30,50,50,67,farabjo01
JJ Peterka,RW,28,22,28,3,0,5,4,0,226,3,12,18,27,peterjo01
Juraj Slafkovsky,LW,20,30,55,6,0,2,8,0,152,10,10,71,152,slafkju01
Devon Toews,D,12,38,18,0,0,2,5,2,159,0,0,110,74,toewsde01
J.T. Compher,LW,19,29,34,5,2,0,5,0,108,465,574,59,51,comphj.01
Filip Hronek,D,5,43,38,2,0,0,9,0,148,0,0,87,104,hronefi01
Dylan Cozens,C,18,29,42,2,3,1,8,0,200,522,624,27,108,cozendy01
Phillip Danault,C,17,30,18,3,0,2,6,2,159,600,557,60,80,danauph01
Max Domi,LW,9,38,118,1,0,1,1,0,137,226,226,22,53,domima01
Brock Faber,D,8,39,26,3,0,1,13,0,136,0,0,150,65,faberbr01
Conor Garland,RW,20,27,35,1,0,3,4,0,200,2,8,34,53,garlaco01
Thomas Harley,D,15,32,18,1,1,3,8,0,144,0,0,135,67,harleth01
Luke Hughes,D,9,38,28,4,0,1,21,0,135,0,0,55,24,hughelu01
Patrick Kane,RW,20,27,16,2,0,7,13,0,147,0,0,13,14,kanepa01
Charlie McAvoy,D,12,35,86,1,0,3,12,0,133,0,0,159,159,mcavoch01
David Perron,LW,17,30,55,7,0,4,10,0,151,16,18,27,111,perroda01
Brady Skjei,D,13,34,40,1,1,2,11,3,185,0,0,90,69,skjeibr01
Noah Hanifin,D,13,34,24,5,0,2,8,2,164,0,0,121,63,hanifno01
Noah Hanifin,D,11,24,22,3,0,1,5,1,123,0,0,89,46,hanifno01
Noah Hanifin,D,2,10,2,2,0,1,3,1,41,0,0,32,17,hanifno01
Vince Dunn,D,11,35,78,4,0,0,12,1,120,0,0,64,39,dunnvi02
Nick Paul,LW,24,22,27,9,0,2,5,0,153,531,447,42,104,paulni01
Brayden Schenn,C,20,26,56,4,1,3,8,0,170,454,466,51,169,schenbr01
Jeff Skinner,LW,24,22,34,8,0,3,4,0,211,52,72,13,26,skinnje01
Andrei Kuzmenko,F,22,24,12,8,0,4,11,0,121,1,0,17,14,kuzmean01
Andrei Kuzmenko,F,8,13,6,3,0,2,4,0,63,1,0,10,9,kuzmean01
Andrei Kuzmenko,F,14,11,6,5,0,2,7,0,58,0,0,7,5,kuzmean01
Ivan Barbashev,C,19,26,42,3,0,3,2,0,122,37,50,44,180,barbaiv01
Nick Bjugstad,C,22,23,59,2,1,2,4,0,165,617,636,48,118,bjugsni01
Anthony Cirelli,C,20,25,38,3,2,3,4,0,129,460,475,75,64,cirelan01
Mattias Ekholm,D,11,34,47,2,1,3,1,0,177,0,0,93,136,ekholma01
William Eklund,LW,16,29,30,8,0,5,8,1,128,72,158,72,39,eklunwi01
Ryan Hartman,RW,21,24,72,5,0,3,5,0,173,371,419,65,75,hartmry01
Alexander Kerfoot,C,13,32,26,2,2,3,10,1,103,412,450,76,73,kerfoal01
Thomas Novak,C,18,27,8,6,0,1,6,0,113,211,289,31,5,novakth01
Logan Cooley,C,20,24,18,3,1,2,10,0,151,262,427,27,50,coolelo01
Jordan Eberle,RW,17,27,17,6,0,3,6,0,168,31,42,23,30,eberljo01
Evander Kane,LW,24,20,85,2,1,3,5,0,220,35,38,29,250,kaneev01
Travis Sanheim,D,10,34,48,0,1,3,5,3,146,0,0,149,94,sanhetr01
Fabian Zetterlund,W,24,20,33,6,1,0,10,0,204,28,57,71,120,zettefa01
Anthony Mantha,RW,23,21,25,3,0,0,5,0,113,3,8,31,55,manthan01
Anthony Mantha,RW,20,14,17,3,0,0,4,0,90,2,5,21,31,manthan01
Anthony Mantha,RW,3,7,8,0,0,0,1,0,23,1,3,10,24,manthan01
Elias Lindholm,C,15,29,25,6,1,4,6,2,173,753,583,61,89,lindhel01
Elias Lindholm,C,9,23,21,3,1,3,6,1,131,547,438,40,56,lindhel01
Elias Lindholm,C,6,6,4,3,0,1,0,1,42,206,145,21,33,lindhel01
Tyler Bertuzzi,LW,21,22,53,5,0,2,1,0,160,4,9,44,98,bertuty01
Brent Burns,D,10,33,20,4,1,0,16,0,185,0,0,87,41,burnsbr01
Daniel Sprong,RW,18,25,22,3,0,1,9,0,160,8,4,15,32,spronda01
Lawson Crouse,LW,23,19,36,7,0,2,3,1,171,28,62,57,175,crousla01
Kirill Marchenko,RW,23,19,14,9,0,1,4,0,193,26,53,39,55,marchki01
Mason McTavish,C,19,23,86,4,1,3,4,1,130,437,408,33,67,mctavma01
Brandon Saad,LW,26,16,20,5,0,7,0,0,144,12,16,16,17,saadbr01
Moritz Seider,D,9,33,51,3,0,0,14,1,135,0,0,213,211,seidemo01
Shea Theodore,D,5,37,6,2,0,1,13,0,105,0,0,78,9,theodsh01
Anthony Duclair,LW,24,18,34,5,0,1,7,0,129,17,29,35,49,duclaan01
Anthony Duclair,LW,16,11,28,5,0,1,5,0,98,12,21,28,35,duclaan01
Anthony Duclair,LW,8,7,6,0,0,0,2,0,31,5,8,7,14,duclaan01
Sam Bennett,C,20,21,100,5,0,2,7,0,171,390,468,43,173,bennesa01
Jakob Chychrun,D,14,27,60,7,0,2,9,0,204,0,0,154,72,chychja01
Sean Durzi,D,9,32,63,3,0,1,13,0,142,0,0,160,44,durzise01
Warren Foegele,LW,20,21,47,1,1,2,0,1,201,5,6,32,89,foegewa01
Morgan Frost,C,13,28,22,3,0,1,8,0,135,407,416,55,57,frostmo01
Nicolas Roy,C,13,28,29,1,1,2,6,0,112,359,408,35,77,royni01
Ryan Strome,C,11,30,86,2,0,0,13,0,131,224,262,21,64,stromry01
Eeli Tolvanen,RW,16,25,24,1,0,3,9,0,153,12,23,75,210,tolvaee01
Ross Colton,C,17,23,61,3,0,2,2,0,146,423,397,46,141,coltoro01
Jake DeBrusk,LW,19,21,18,2,2,3,8,0,183,7,16,48,107,debruja01
Pierre-Luc Dubois,LW,16,24,70,7,0,4,1,0,146,440,446,37,96,duboipi01
Trent Frederic,C,18,22,69,2,0,1,0,0,123,132,159,52,204,fredetr01
Andrew Mangiapane,LW,14,26,47,2,1,0,1,0,122,5,5,33,89,mangian01
Marco Rossi,C,21,19,47,2,0,2,4,0,167,335,414,37,35,rossima01
Reilly Smith,RW,13,27,18,1,0,3,7,0,152,5,14,28,55,smithre01
Rasmus Andersson,D,9,30,47,0,1,3,8,0,159,0,0,186,42,anderra01
Mikael Backlund,C,15,24,24,2,1,2,1,1,209,778,769,33,70,backlmi01
Luke Evangelista,RW,16,23,18,3,0,1,7,0,172,1,3,23,30,evanglu01
Gustav Forsling,D,10,29,43,1,0,1,1,0,160,0,0,102,111,forslgu02
Cam Fowler,D,5,34,24,2,0,0,16,1,109,0,0,119,41,fowleca01
Morgan Geekie,C,17,22,28,4,0,1,8,0,130,291,369,50,137,geekimo01
Torey Krug,D,4,35,32,0,0,2,13,0,162,0,0,111,64,krugto01
Scott Laughton,C,13,26,69,1,2,2,4,6,167,478,499,56,155,laughsc01
Evan Rodrigues,C,12,27,34,3,0,1,7,0,186,29,29,28,104,rodriev01
Sean Couturier,C,11,27,29,3,0,3,4,2,192,692,602,41,59,coutuse01
Jake Neighbours,LW,27,11,21,8,0,4,6,0,145,11,18,45,138,neighja01
Cole Perfetti,C,19,19,12,5,0,3,6,0,142,38,63,23,26,perfeco01
Jake Sanderson,D,10,28,23,3,0,3,11,0,158,1,0,139,49,sandeja01
James van Riemsdyk,LW,11,27,20,6,0,3,6,0,142,10,11,22,34,vanrija01
Tomáš Hertl,C,17,21,22,6,1,2,5,0,124,565,418,49,59,hertlto01
Tomáš Hertl,C,15,19,22,5,1,1,4,0,113,506,392,46,48,hertlto01
Tomáš Hertl,C,2,2,0,1,0,1,1,0,11,59,26,3,11,hertlto01
Matty Beniers,C,15,22,20,6,0,1,7,0,133,527,584,44,52,beniema01
Nick Foligno,LW,17,20,57,8,1,0,8,0,146,228,207,39,192,foligni01
Anders Lee,LW,20,17,68,5,0,2,0,0,185,19,25,54,176,leean01
Vladislav Namestnikov,C,11,26,37,3,1,0,2,0,95,173,304,45,92,namesvl01
Stefan Noesen,RW,14,23,33,3,0,3,8,0,111,46,63,25,118,noesest01
Rickard Rakell,RW,15,22,22,4,0,2,2,0,165,3,10,40,112,rakelri01
Jaccob Slavin,D,6,31,8,0,2,1,0,1,151,0,0,120,55,slavija01
Mason Appleton,C,14,22,26,2,1,2,0,1,122,9,8,44,107,applema01
Danton Heinen,C,17,19,28,1,1,4,0,0,119,12,19,46,83,heineda01
Nils Höglander,LW,24,12,51,0,0,5,0,0,120,0,0,19,100,hoglani01
Alex Killorn,C,18,18,54,5,0,5,2,0,145,14,25,25,72,killoal01
Gabriel Vilardi,C,22,14,14,9,0,5,5,0,117,27,32,24,14,vilarga01
Jason Dickinson,C,22,13,43,2,0,4,0,0,126,618,618,73,143,dickija01
Dylan Guenther,RW,18,17,14,9,1,4,4,1,121,6,23,24,32,guentdy01
Erik Haula,LW,16,19,54,1,1,2,2,1,156,489,403,49,94,haulaer01
Boone Jenner,C,22,13,28,5,1,1,3,0,155,604,509,74,119,jennebo01
Mathieu Joseph,RW,11,24,51,0,1,3,0,1,124,22,44,49,105,josepma01
Matthew Knies,LW,15,20,45,0,0,3,2,0,115,0,1,30,169,kniesma01
Adam Lowry,LW,12,23,57,0,1,1,2,1,119,676,704,65,181,lowryad01
Anton Lundell,C,13,22,46,1,0,2,4,1,166,482,396,40,61,lundean01
Colton Sissons,C,15,20,38,3,3,2,4,1,131,618,558,57,137,sissoco01
Tom Wilson,RW,18,17,133,5,2,3,5,0,169,22,38,74,228,wilsoto01
Artturi Lehkonen,LW,16,18,14,7,0,2,5,0,103,9,24,18,49,lehkoar01
Alex Newhook,C,15,19,18,2,0,2,6,0,85,229,263,31,36,newhoal01
Nino Niederreiter,RW,18,16,34,3,0,3,1,0,170,26,31,42,115,niedeni01
Dmitri Voronkov,LW,18,16,52,6,0,2,2,0,142,277,380,48,83,vorondi01
Connor Zary,C,14,20,22,1,0,3,3,0,90,48,61,29,29,zaryco01
Andrew Copp,C,13,20,26,1,1,3,2,2,109,536,465,51,33,coppan01
Tyson Foerster,RW,20,13,32,4,1,2,4,0,167,1,2,49,102,foersty01
Yanni Gourde,C,11,22,62,0,2,1,2,1,156,519,566,52,156,gourdya01
Connor McMichael,C,18,15,34,2,1,3,4,1,135,370,502,39,45,mcmicco01
Dawson Mercer,C,20,13,29,4,0,2,1,0,134,119,146,43,30,merceda01
Brandon Montour,D,8,25,46,1,0,3,16,0,168,0,0,67,104,montobr01
Drew O'Connor,F,16,17,20,0,1,2,0,1,160,21,24,58,53,oconndr01
Jean-Gabriel Pageau,C,11,22,13,1,1,2,1,5,101,679,546,81,196,pageaje01
Alex Pietrangelo,D,4,29,24,0,0,2,9,1,141,0,0,160,46,pietral01
Neal Pionk,D,5,28,63,1,0,1,7,0,146,0,0,118,221,pionkne01
Owen Power,D,6,27,28,0,0,1,6,1,108,0,0,115,45,powerow01
Darren Raddysh,D,6,27,21,1,0,2,6,0,101,0,0,105,75,raddyda01
Michael Rasmussen,C,13,20,47,0,1,3,0,3,101,58,62,76,124,rasmumi01
Oliver Ekman-Larsson,D,9,23,76,1,0,3,10,0,123,0,0,70,105,ekmanol01
Robby Fabbri,C,18,14,32,5,0,3,7,0,97,70,50,29,77,fabbrro01
Dakota Joshua,C,18,14,60,1,0,5,0,0,84,34,38,40,245,joshuda01
Jordan Martinook,LW,14,18,36,0,1,1,0,0,148,48,47,36,61,martijo01
Ryan McDonagh,D,3,29,31,0,0,1,4,0,91,0,0,139,38,mcdonry01
Darnell Nurse,D,10,22,79,1,1,2,4,0,181,0,0,172,168,nurseda01
Ivan Provorov,D,5,27,20,0,0,0,7,0,107,0,0,155,66,provoiv01
Cole Sillinger,C,13,19,46,1,0,1,0,1,157,450,522,74,119,sillico01
Jason Zucker,LW,14,18,81,5,0,0,5,0,150,13,20,18,98,zuckeja01
Jason Zucker,LW,9,16,58,4,0,0,5,0,104,11,18,14,74,zuckeja01
Jason Zucker,LW,5,2,23,1,0,0,0,0,46,2,2,4,24,zuckeja01
Dylan DeMelo,D,3,28,36,0,0,0,1,0,83,0,0,139,167,demeldy01
Lars Eller,C,15,16,32,4,1,0,1,1,154,487,445,56,55,ellerla01
Brendan Gallagher,RW,16,15,74,1,0,2,3,0,154,14,20,35,63,gallabr01
Erik Gustafsson,D,6,25,35,0,0,1,9,0,93,0,0,66,63,gustaer02
Tyler Johnson,C,17,14,26,8,0,1,8,0,112,156,195,31,48,johnsty01
Seth Jones,D,8,23,34,3,0,4,6,0,172,0,0,131,77,jonesse01
Ilya Mikheyev,F,11,20,4,0,0,1,0,0,147,8,21,20,49,mikheil01
Ondřej Palát,LW,11,20,37,1,0,0,4,0,108,4,13,49,92,palaton01
Jack Roslovic,C,9,22,16,0,1,3,4,0,117,54,72,24,28,rosloja01
Jack Roslovic,C,6,17,14,0,1,2,3,0,86,44,61,19,22,rosloja01
Jack Roslovic,C,3,5,2,0,0,1,1,0,31,10,11,5,6,rosloja01
Zach Benson,LW,11,19,36,0,0,1,2,0,98,5,12,35,35,bensoza01
Thomas Chabot,D,9,21,22,1,0,0,6,0,118,0,0,88,44,chaboth01
Ryan Donato,C,12,18,26,1,0,0,2,0,149,98,124,24,104,donatry01
Justin Faulk,D,2,28,39,1,0,1,6,1,132,0,0,104,83,faulkju01
Marcus Johansson,C,11,19,22,1,0,0,5,0,112,6,26,29,44,johanma03
Ryan McLeod,C,12,18,10,0,0,3,1,2,106,365,353,34,65,mcleory01
K'Andre Miller,D,8,22,49,0,0,3,1,1,96,0,0,117,148,milleka01
Joshua Norris,C,16,14,22,5,0,3,7,1,115,328,301,30,86,norrijo01
Marcus Pettersson,D,4,26,44,0,0,1,0,0,106,0,0,159,121,pettema01
Jaden Schwartz,C,13,17,24,7,0,0,3,0,117,92,69,27,46,schwaja01
Jordan Staal,C,10,20,44,0,1,3,1,3,123,799,576,41,142,staaljo01
Alexandre Texier,C,12,18,38,0,2,1,2,0,109,6,13,36,57,texieal01
Cameron York,D,10,20,44,0,0,1,6,2,134,0,0,174,76,yorkca01
Alexander Wennberg,C,10,20,14,3,1,4,3,0,90,552,636,75,46,wennbal01
Alexander Wennberg,C,9,16,14,2,1,4,2,0,80,470,536,65,37,wennbal01
Alexander Wennberg,C,1,4,0,1,0,0,1,0,10,82,100,10,9,wennbal01
Michael Carcone,F,21,8,35,1,1,4,1,0,111,4,9,22,56,carcomi01
Leo Carlsson,C,12,17,16,4,0,0,5,0,109,195,366,25,28,carlsle01
Yegor Chinakhov,RW,16,13,6,1,0,3,1,0,110,1,13,28,43,chinaye01
Kevin Hayes,RW,13,16,12,0,0,2,5,0,153,478,360,17,42,hayeske01
