Player,Pos,G,A,PIM,PPG,SHG,GWG,PP,SH,SOG,FOW,FOL,BLK,HIT,-9999
Nikita Kucherov,RW,44,100,22,13,0,6,40,0,306,2,2,35,45,kucheni01
Nathan MacKinnon,C,51,89,42,10,0,9,38,0,405,607,707,69,55,mackina01
Connor McDavid,C,32,100,30,7,1,5,37,0,263,442,423,39,118,mcdavco01
Artemi Panarin,LW,49,71,24,11,0,5,33,1,303,1,9,15,18,panarar01
David Pastrňák,RW,47,63,47,12,0,5,23,0,382,8,16,19,70,pastrda01
Auston Matthews,C,69,38,20,18,0,8,11,1,369,705,614,93,90,matthau01
Leon Draisaitl,C,41,65,76,21,0,7,18,2,217,826,625,26,58,draisle01
Mikko Rantanen,RW,42,62,50,14,0,9,26,0,271,275,236,49,53,rantami01
J.T. Miller,C,37,66,58,10,2,9,30,0,194,823,638,61,217,millejt01
William Nylander,C,40,58,24,11,3,7,24,1,316,56,63,29,32,nylanwi01
Kirill Kaprizov,LW,46,50,36,19,0,8,22,0,277,0,1,38,55,kapriki01
Sidney Crosby,C,42,52,40,10,0,3,13,0,278,1090,782,37,101,crosbsi01
Filip Forsberg,C,48,46,43,13,0,11,19,0,347,11,11,44,141,forsbfi01
Sam Reinhart,C,57,37,31,27,5,11,7,0,233,234,296,66,78,reinhsa01
Quinn Hughes,D,17,75,38,5,0,2,33,0,199,0,0,55,29,hughequ01
Cale Makar,D,21,69,16,7,1,1,32,3,231,0,0,148,37,makarca01
Brayden Point,C,46,44,14,15,0,12,17,0,227,294,350,44,16,pointbr01
Sebastian Aho,F,36,53,36,11,1,10,21,1,216,571,484,18,48,ahose01
Elias Pettersson,C,34,55,12,13,0,10,18,2,207,406,393,68,125,petteel01
Matthew Tkachuk,LW,26,62,88,6,1,2,26,0,280,3,6,28,151,tkachma01
Robert Thomas,C,26,60,48,8,1,3,19,2,170,876,773,47,16,thomaro01
Roman Josi,D,23,62,45,9,0,5,24,1,268,0,0,151,46,josiro01
Mitch Marner,RW,26,59,18,8,1,2,19,0,158,4,12,51,59,marnemi01
Jesper Bratt,W,27,56,12,7,0,7,20,1,248,8,14,33,66,brattje01
Evan Bouchard,D,18,64,32,8,0,7,27,0,220,0,0,105,71,bouchev01
Steven Stamkos,C,40,41,34,19,0,6,20,0,262,357,280,43,78,stamkst01
Aleksander Barkov,C,23,57,24,5,0,4,24,2,193,630,470,50,104,barkoal01
Mathew Barzal,C,23,57,34,5,0,4,20,0,240,49,65,52,54,barzama01
Jason Robertson,LW,29,51,22,9,0,4,19,0,231,0,0,31,77,roberja01
Zach Hyman,LW,54,23,48,15,0,7,5,0,290,7,9,37,87,hymanza01
Nick Suzuki,C,33,44,36,12,0,1,19,0,185,689,622,48,69,suzukni01
Vincent Trocheck,C,25,52,55,11,1,5,13,0,215,881,619,86,175,trochvi01
Jake Guentzel,C,30,47,22,5,0,2,17,0,238,6,17,28,48,guentja01
Jake Guentzel,C,22,30,14,4,0,2,9,0,185,5,13,21,36,guentja01
Jake Guentzel,C,8,17,8,1,0,0,8,0,53,1,4,7,12,guentja01
Victor Hedman,D,13,63,76,4,0,2,27,0,168,0,0,102,65,hedmavi01
Clayton Keller,C,33,43,32,9,0,4,21,0,228,30,35,30,20,kellecl01
Brandon Hagel,LW,26,49,79,2,0,3,5,2,184,25,36,45,55,hagelbr01
Nazem Kadri,C,29,46,43,10,0,4,12,0,277,592,618,24,57,kadrina01
Adrian Kempe,LW,28,47,72,5,3,4,22,1,246,3,10,32,112,kempead01
Chris Kreider,LW,39,36,26,18,2,7,11,3,246,35,61,20,99,kreidch01
Gustav Nyquist,RW,23,52,8,5,1,4,19,1,153,15,24,38,36,nyquigu01
Jack Hughes,C,27,47,12,9,0,4,22,0,274,118,199,24,10,hugheja03
Brady Tkachuk,LW,37,37,134,12,0,2,10,0,357,200,180,34,294,tkachbr01
Brock Boeser,RW,40,33,14,16,0,4,9,0,204,13,12,29,56,boesebr01
Kevin Fiala,LW,29,44,62,11,0,2,19,0,225,10,28,28,67,fialake01
Adam Fox,D,17,56,36,6,1,5,27,1,137,0,0,123,44,foxad01
Lucas Raymond,LW,31,41,30,6,0,4,10,0,163,4,6,27,69,raymolu01
Mark Scheifele,C,25,47,57,6,0,4,12,0,154,603,650,40,63,scheima01
Carter Verhaeghe,C,34,38,36,8,0,7,13,0,246,37,47,20,63,verhaca01
Mika Zibanejad,C,26,46,30,12,2,3,19,4,221,548,564,55,49,zibanmi01
Noah Dobson,D,10,60,36,1,0,4,23,1,174,0,0,180,84,dobsono01
Anže Kopitar,C,26,44,22,9,1,6,14,2,133,859,701,65,37,kopitan01
Tim Stützle,LW,18,52,28,1,0,2,19,0,192,239,273,41,100,stuetti02
Matt Boldy,LW,29,40,48,10,0,7,15,0,227,37,51,32,33,boldyma01
Dylan Larkin,C,33,36,39,14,2,5,12,0,221,716,577,34,44,larkidy01
Jonathan Marchessault,C,42,27,40,8,0,5,9,0,266,6,18,23,107,audymjo01
