Player,Pos,G,A,PIM,PPG,SHG,GWG,PP,SH,SOG,FOW,FOL,BLK,HIT,-9999
Connor McDavid,C,44,79,45,10,0,9,34,1,314,562,484,26,75,mcdavco01
Johnny Gaudreau,LW,40,75,26,6,0,9,19,0,262,1,0,9,10,gaudrjo01
Jonathan Huberdeau,LW,30,85,54,5,3,7,33,2,222,18,36,28,99,huberjo01
Leon Draisaitl,C,55,55,40,24,1,11,17,0,278,887,774,25,53,draisle01
Kirill Kaprizov,LW,47,61,34,14,0,5,17,0,289,5,4,29,73,kapriki01
Auston Matthews,C,60,46,18,16,0,10,13,0,348,691,538,62,67,matthau01
Steven Stamkos,C,42,64,36,16,0,11,20,0,241,545,523,31,93,stamkst01
Matthew Tkachuk,RW,42,62,68,12,0,6,17,0,253,20,23,20,93,tkachma01
J.T. Miller,C,32,67,47,8,0,6,30,2,206,667,566,56,172,millejt01
Mitch Marner,RW,35,62,16,6,3,5,19,1,224,10,8,31,75,marnemi01
Roman Josi,D,23,73,46,11,0,2,26,0,281,0,0,133,66,josiro01
Artemi Panarin,LW,22,74,18,5,0,5,32,0,177,1,1,14,22,panarar01
Kyle Connor,LW,47,46,4,8,3,9,20,0,317,1,6,23,32,connoky01
Patrick Kane,RW,26,66,18,9,0,2,22,0,287,4,4,26,11,kanepa01
Mikko Rantanen,RW,36,56,56,16,0,2,19,0,254,164,190,43,58,rantami01
Alex Ovechkin,LW,50,40,18,16,1,5,13,0,334,4,9,25,156,ovechal01
Aleksander Barkov,C,39,49,18,12,4,5,14,1,214,713,539,42,50,barkoal01
Nathan MacKinnon,C,32,56,42,7,0,5,20,0,299,383,461,39,68,mackina01
Nazem Kadri,C,28,59,71,8,0,6,21,0,247,585,592,19,52,kadrina01
Matt Duchene,C,43,43,38,16,0,6,13,0,228,119,101,28,31,duchema01
Cale Makar,D,28,58,26,9,0,6,25,0,240,0,0,110,95,makarca01
Kevin Fiala,LW,33,52,52,5,1,7,12,0,262,4,11,21,52,fialake01
Victor Hedman,D,20,65,36,6,0,6,32,0,219,0,0,129,93,hedmavi01
Sidney Crosby,C,31,53,32,8,0,9,22,0,208,760,690,37,50,crosbsi01
Filip Forsberg,C,42,42,22,10,0,8,17,0,226,1,0,48,112,forsbfi01
Jake Guentzel,C,40,44,44,7,0,7,15,0,264,13,12,38,72,guentja01
Elias Lindholm,C,42,40,22,10,1,9,9,1,235,842,750,52,66,lindhel01
Sam Reinhart,C,33,49,13,16,0,6,15,2,186,174,185,30,49,reinhsa01
Vladimir Tarasenko,RW,34,48,32,5,0,9,17,1,230,4,7,45,83,tarasvl01
Sebastian Aho,F,37,44,38,13,1,9,15,2,221,555,504,23,76,ahose01
Joe Pavelski,C,27,54,14,12,0,2,13,0,216,394,357,69,104,paveljo01
Mika Zibanejad,C,29,52,12,15,1,3,13,4,219,700,638,47,67,zibanmi01
Brad Marchand,LW,32,48,97,7,2,6,20,0,242,14,27,20,78,marchbr03
William Nylander,C,34,46,16,13,0,7,18,0,256,34,31,30,19,nylanwi01
Jason Robertson,LW,41,38,22,13,0,11,8,0,220,0,0,24,50,roberja01
Mats Zuccarello,LW,24,55,24,7,0,2,21,0,159,21,34,33,36,zuccama01
Alex DeBrincat,RW,41,37,19,14,0,6,14,0,270,24,40,35,101,debrial01
Evgeny Kuznetsov,C,24,54,44,8,3,4,19,2,208,507,659,25,42,kuzneev01
Chris Kreider,LW,52,25,24,26,3,11,9,0,258,67,70,39,141,kreidch01
David Pastrňák,RW,40,37,20,15,0,9,11,0,312,7,14,14,63,pastrda01
Robert Thomas,C,20,57,16,3,2,6,11,1,115,562,565,25,13,thomaro01
Pavel Buchnevich,LW,30,46,34,8,2,3,11,2,199,13,26,15,57,buchnpa01
Timo Meier,RW,35,41,54,12,0,8,6,0,326,18,19,61,162,meierti01
John Tavares,C,27,49,32,10,0,3,16,0,237,813,529,44,90,tavarjo01
Jordan Kyrou,C,27,48,20,5,0,4,14,1,188,6,9,23,6,kyroujo01
Adam Fox,D,11,63,26,0,1,2,33,1,158,0,0,128,30,foxad01
Jesper Bratt,W,26,47,16,3,0,6,15,0,197,0,3,30,26,brattje01
Roope Hintz,LW,37,35,28,9,3,7,15,1,213,357,317,53,82,hintzro01
John Carlson,D,17,54,20,7,0,2,18,3,195,0,0,112,73,carlsjo01
