Player,Pos,G,A,PIM,PPG,SHG,GWG,PP,SH,SOG,FOW,FOL,BLK,HIT,-9999
Joel Armia,RW,11,18,16,0,3,1,3,0,104,3,11,35,87,armiajo01
Philip Broberg,D,8,21,16,0,0,2,2,0,97,0,0,103,43,brobeph01
Brent Burns,D,6,23,28,0,0,0,3,0,174,0,0,98,11,burnsbr01
Ross Colton,C,16,13,18,5,0,3,2,0,125,39,58,42,145,coltoro01
Oliver Ekman-Larsson,D,4,25,52,2,0,1,2,0,118,0,0,83,108,ekmanol01
Joel Eriksson Ek,C,14,15,22,5,0,1,5,0,140,408,459,36,82,eriksjo02
Brock Faber,D,10,19,23,2,0,1,8,1,124,0,0,115,36,faberbr01
Marcus Foligno,LW,14,15,75,0,0,1,0,0,91,7,12,49,253,foligma01
William Karlsson,C,9,20,4,0,2,4,6,0,119,410,296,37,20,karlswi01
Michael Kesselring,D,7,22,89,1,0,1,2,0,150,0,0,67,87,kessemi01
Victor Olofsson,RW,15,14,16,6,0,4,2,0,109,1,6,19,26,olofsvi01
Jeff Skinner,LW,16,13,26,0,0,1,2,0,144,22,21,23,45,skinnje01
Danton Heinen,C,9,20,31,1,1,0,1,0,81,18,28,37,81,heineda01
Danton Heinen,C,6,12,31,1,0,0,1,0,44,14,19,25,50,heineda01
Danton Heinen,C,3,8,0,0,1,0,0,0,37,4,9,12,31,heineda01
Marcus Pettersson,D,4,25,45,0,0,1,0,1,70,0,0,144,80,pettema01
Marcus Pettersson,D,3,15,25,0,0,1,0,1,43,0,0,83,57,pettema01
Marcus Pettersson,D,1,10,20,0,0,0,0,0,27,0,0,61,23,pettema01
Zach Benson,LW,10,18,60,3,0,0,1,0,120,4,17,29,35,bensoza01
Alexander Kerfoot,C,11,17,14,0,2,1,1,0,100,259,234,67,59,kerfoal01
Peyton Krebs,C,10,18,60,1,1,0,0,0,80,326,339,32,136,krebspe01
Adam Larsson,D,7,21,31,0,0,1,0,0,112,0,0,148,104,larssad01
