Player,Pos,W,T/O,GA,SV,SO,G,A,PIM,-9999
Petr Mrázek,G,12,0,58,462,0,0,0,0,mrazepe01
Matt Murray,G,5,2,60,580,1,0,0,0,murrama02
Jon Gillies,G,3,2,62,488,0,0,1,0,gillijo01
Jon Gillies,G,0,1,3,36,0,0,0,0,gillijo01
Jon Gillies,G,3,1,59,452,0,0,1,0,gillijo01
Eric Comrie,G,10,1,44,506,1,0,1,0,comrier01
Brian Elliott,G,11,3,43,446,1,0,0,0,elliobr01
Logan Thompson,G,10,3,49,520,1,0,0,0,thomplo01
Filip Gustavsson,G,5,1,62,512,0,0,0,0,gustafi01
Jaroslav Halák,G,4,2,39,361,0,0,0,2,halakja01
David Rittich,G,6,4,49,382,0,0,0,2,rittida01
Erik Källgren,G,8,1,43,342,1,0,0,2,kallger01
Stuart Skinner,G,6,0,32,335,1,0,0,0,skinnst01
Aaron Dell,G,1,1,38,316,0,0,0,2,dellaa01
Cayden Primeau,G,1,1,40,262,0,0,0,0,primeca01
Jonas Johansson,G,3,1,39,225,0,0,0,0,johanjo03
Jonas Johansson,G,3,1,24,176,0,0,0,0,johanjo03
Jonas Johansson,G,0,0,15,49,0,0,0,0,johanjo03
Andrew Hammond,G,4,1,38,276,0,0,0,0,hammoan01
Andrew Hammond,G,3,0,8,92,0,0,0,0,hammoan01
Andrew Hammond,G,1,1,30,184,0,0,0,0,hammoan01
Jonathan Bernier,G,4,1,26,238,0,0,0,0,bernijo01
Anton Khudobin,G,3,1,28,203,0,0,0,0,khudoan01
Ukko-Pekka Luukkonen,G,2,2,23,254,0,0,0,0,luukkuk01
Collin Delia,G,1,1,22,196,0,0,0,0,deliaco01
Zachary Sawchenko,G,1,1,15,136,0,0,0,0,sawchza01
Jean-François Bérubé,G,3,0,21,188,0,0,1,0,berubje02
Spencer Martin,G,3,3,11,207,0,0,0,0,martisp01
Harri Säteri,G,2,1,21,136,0,0,0,0,saterha01
Akira Schmid,G,0,0,19,95,0,0,0,0,schmiak01
Joey Daccord,G,0,0,21,119,0,0,0,0,daccojo01
Charlie Lindgren,G,5,0,5,113,0,0,0,0,lindgch01
Carey Price,G,1,0,18,130,0,0,0,0,priceca01
Felix Sandström,G,0,1,16,161,0,0,0,0,sandsfe01
Lukáš Dostál,G,1,0,10,98,0,0,0,0,dostalu01
Zachary Fucale,G,1,1,5,61,1,0,0,0,fucalza01
Tuukka Rask,G,2,0,14,76,0,0,0,2,rasktu01
Malcolm Subban,G,0,1,17,115,0,0,0,0,subbama01
Daniil Tarasov,G,0,0,7,104,0,0,0,0,tarasda02
Joseph Woll,G,3,0,11,112,1,0,0,2,wolljo01
Carter Hutton,G,0,0,15,43,0,0,0,0,huttoca01
Connor Ingram,G,1,0,11,80,0,0,0,0,ingraco01
Pyotr Kochetkov,G,3,0,6,55,0,0,0,0,kochepy01
Calvin Pickard,G,1,0,9,63,0,0,0,0,pickaca01
Ivan Prosvetov,G,0,1,13,91,0,0,0,0,prosviv01
Arvid Söderblom,G,0,0,13,82,0,0,0,0,soderar01
Justus Annunen,G,1,1,7,44,0,0,1,0,annunju01
Pheonix Copley,G,0,0,5,36,0,0,0,0,copleph01
Louis Domingue,G,1,0,4,79,0,0,0,0,dominlo01
Joel Hofer,G,1,0,6,44,0,0,1,0,hoferjo01
Michael Houser,G,2,0,4,73,0,0,0,0,housemi01
Michael Hutchinson,G,0,0,6,36,0,0,0,0,hutchmi01
Josef Kořenář,G,0,0,3,32,0,0,0,0,korenjo01
Jack LaFontaine,G,0,0,9,32,0,0,0,0,lafonja01
Maxime Lagace,G,1,0,10,48,0,0,0,0,lagacma01
Alex Lyon,G,1,1,6,59,0,0,0,0,lyonal01
Garret Sparks,G,1,0,3,44,0,0,0,0,sparkga01
Mads Søgaard,G,1,0,6,48,0,0,0,0,sogaama01
Hugo Alnefelt,G,0,0,3,7,0,0,0,0,alnefhu01
Michael DiPietro,G,0,0,3,14,0,0,0,0,dipiemi01
Magnus Hellberg,G,1,0,3,20,0,0,0,0,hellbma01
Thomas Hodges,G,0,0,1,2,0,0,0,0,hodgeth01
Adam Huska,G,0,0,7,32,0,0,0,0,huskaad01
Keith Kinkaid,G,1,0,2,29,0,0,0,0,kinkake01
Michael McNiven,G,0,0,3,4,0,0,0,0,mcnivmi01
Cory Schneider,G,1,0,3,27,0,0,0,0,schneco01
Alex Stalock,G,0,0,6,22,0,0,0,0,staloal01
