Player,Pos,W,T/O,GA,SV,SO,G,A,PIM,-9999
Juuse Saros,G,38,3,173,1934,4,0,0,0,sarosju01
Connor Hellebuyck,G,29,10,193,1962,4,0,2,0,helleco01
Thatcher Demko,G,33,7,168,1799,1,0,2,2,demkoth01
Jacob Markström,G,37,9,137,1617,9,0,3,10,marksja02
Andrei Vasilevskiy,G,39,5,156,1712,2,0,1,6,vasilan02
Elvis Merzļikins,G,27,7,178,1742,2,0,2,8,merzlel01
Alex Nedeljkovic,G,20,9,178,1618,4,0,2,2,nedelal01
Tristan Jarry,G,34,6,138,1573,4,0,2,2,jarrytr01
Darcy Kuemper,G,37,4,138,1616,5,0,0,2,kuempda01
John Gibson,G,18,11,172,1617,1,0,1,12,gibsojo02
Marc-André Fleury,G,28,5,159,1573,4,0,2,2,fleurma01
Marc-André Fleury,G,19,5,129,1269,4,0,1,2,fleurma01
Marc-André Fleury,G,9,0,30,304,0,0,1,0,fleurma01
Philipp Grubauer,G,18,5,164,1315,2,0,1,0,grubaph01
Sergei Bobrovsky,G,39,3,137,1429,3,0,0,4,bobrose01
Igor Shesterkin,G,36,4,106,1516,6,0,1,2,shestig01
Frederik Andersen,G,35,3,111,1320,4,0,4,0,anderfr01
Ilya Sorokin,G,26,8,123,1520,7,0,0,0,sorokil01
Karel Vejmelka,G,13,3,170,1499,1,0,0,0,vejmeka01
Jack Campbell,G,31,6,123,1307,5,0,1,0,campbja01
Cam Talbot,G,32,4,132,1356,3,0,1,2,talboca01
Jake Oettinger,G,30,1,114,1217,1,0,2,0,oettija01
James Reimer,G,19,10,129,1321,1,0,0,0,reimeja01
Anton Forsberg,G,22,4,121,1336,1,0,0,2,forsban01
Jonathan Quick,G,23,9,116,1168,2,0,1,6,quickjo01
Carter Hart,G,13,7,137,1304,1,0,1,0,hartca01
Mikko Koskinen,G,27,4,136,1261,1,0,0,4,koskimi01
Robin Lehner,G,23,2,120,1168,1,0,1,10,lehnero01
Ilya Samsonov,G,23,5,119,1026,3,0,0,0,samsoil01
Vítek Vaněček,G,20,6,103,1014,4,0,0,0,vanecvi01
Jeremy Swayman,G,23,3,96,1015,3,0,0,6,swaymje01
Linus Ullmark,G,26,2,95,1045,1,0,1,4,ullmali01
Ville Husso,G,25,6,100,1136,2,0,0,0,hussovi01
Sam Montembeault,G,8,6,122,1002,1,0,0,0,montesa01
Jordan Binnington,G,18,4,112,1023,2,0,0,14,binnijo01
Calvin Petersen,G,20,2,105,897,3,0,0,2,peterca01
Scott Wedgewood,G,13,6,110,1108,1,0,0,0,wedgesc01
Scott Wedgewood,G,0,1,9,66,0,0,0,0,wedgesc01
Scott Wedgewood,G,10,2,78,800,0,0,0,0,wedgesc01
Scott Wedgewood,G,3,3,23,242,1,0,0,0,wedgesc01
Kaapo Kähkönen,G,14,4,93,963,0,0,1,2,kahkoka01
Kaapo Kähkönen,G,12,3,66,668,0,0,1,2,kahkoka01
Kaapo Kähkönen,G,2,1,27,295,0,0,0,0,kahkoka01
Jake Allen,G,9,4,107,1016,2,0,0,2,allenja01
Martin Jones,G,12,3,114,1027,0,0,0,0,jonesma02
Alexandar Georgiev,G,15,2,85,747,2,0,0,0,georgal01
Spencer Knight,G,19,3,81,795,2,0,0,0,knighsp01
Kevin Lankinen,G,8,6,106,867,0,0,1,0,lankike01
Craig Anderson,G,17,2,97,848,0,0,1,0,andercr01
Thomas Greiss,G,10,1,92,750,0,0,1,2,greisth01
Semyon Varlamov,G,10,2,87,891,2,0,0,0,varlasi01
Dustin Tokarski,G,10,5,91,809,1,0,0,0,tokardu01
Antti Raanta,G,15,4,62,644,2,0,0,0,raantan01
Mike Smith,G,16,2,74,800,2,0,1,6,smithmi01
Anthony Stolarz,G,12,3,67,742,3,0,1,2,stolaan01
Chris Driedger,G,9,1,73,649,1,0,0,4,driedch01
Casey DeSmith,G,11,5,66,703,3,0,0,0,desmica01
Mackenzie Blackwood,G,9,4,79,652,2,0,0,0,blackma01
Nico Daws,G,10,1,66,551,0,0,0,0,dawsni01
Adin Hill,G,10,1,61,587,2,0,2,0,hillad01
Laurent Brossoit,G,10,3,62,526,1,0,0,0,brossla01
Braden Holtby,G,10,1,61,639,0,0,0,2,holtbbr01
Daniel Vladař,G,13,2,57,551,2,0,1,0,vladada01
Joonas Korpisalo,G,7,0,78,556,0,0,0,2,korpijo01
Pavel Francouz,G,15,1,51,557,2,0,0,0,francpa01
