Player,Pos,W,T/O,GA,SV,SO,G,A,PIM,-9999
Juuse Saros,G,35,5,173,1672,3,0,2,2,sarosju01
Alexandar Georgiev,G,38,5,183,1587,2,0,2,4,georgal01
Connor Hellebuyck,G,37,4,142,1656,5,0,0,2,helleco01
Stuart Skinner,G,36,5,147,1406,2,0,0,0,skinnst01
Sergei Bobrovsky,G,36,4,135,1449,6,0,2,4,bobrose01
Jordan Binnington,G,28,5,156,1630,3,0,3,8,binnijo01
Petr Mrázek,G,18,4,160,1564,1,0,0,14,mrazepe01
Ilya Sorokin,G,25,12,167,1655,2,0,2,0,sorokil01
Joonas Korpisalo,G,21,4,168,1355,0,0,1,0,korpijo01
Igor Shesterkin,G,36,2,141,1465,4,0,1,6,shestig01
Ukko-Pekka Luukkonen,G,27,4,132,1338,5,0,1,8,luukkuk01
Jake Oettinger,G,35,4,140,1336,3,0,0,2,oettija01
Cam Talbot,G,27,6,130,1360,3,0,3,4,talboca01
Andrei Vasilevskiy,G,30,2,148,1329,2,0,2,2,vasilan02
Thatcher Demko,G,35,2,123,1369,5,0,1,0,demkoth01
Samuel Ersson,G,23,7,132,1072,4,0,0,4,erssosa01
Tristan Jarry,G,19,5,133,1236,6,1,0,4,jarrytr01
Joey Daccord,G,19,11,116,1258,3,0,0,0,daccojo01
Connor Ingram,G,23,3,136,1325,6,0,3,0,ingraco01
Charlie Lindgren,G,25,7,127,1304,6,0,0,0,lindgch01
Jacob Markström,G,23,2,131,1248,2,0,5,0,marksja02
John Gibson,G,13,2,151,1192,0,0,0,12,gibsojo02
Logan Thompson,G,25,5,119,1179,1,0,3,0,thomplo01
Filip Gustavsson,G,20,4,129,1154,3,0,1,0,gustafi01
Mackenzie Blackwood,G,10,4,140,1243,2,0,0,2,blackma01
Lukáš Dostál,G,14,3,129,1181,1,0,0,8,dostalu01
Alex Lyon,G,21,5,127,1198,2,0,1,2,lyonal01
Jeremy Swayman,G,25,8,108,1179,3,0,1,0,swaymje01
Pyotr Kochetkov,G,23,4,92,939,4,0,0,8,kochepy01
Elvis Merzļikins,G,13,8,130,1136,1,0,0,4,merzlel01
Sam Montembeault,G,16,9,127,1180,0,0,2,0,montesa01
Marc-André Fleury,G,17,5,111,945,2,0,1,4,fleurma01
Ilya Samsonov,G,23,8,120,967,3,0,1,0,samsoil01
Linus Ullmark,G,22,7,103,1104,2,0,1,2,ullmali01
Alex Nedeljkovic,G,18,7,102,937,1,0,0,0,nedelal01
Karel Vejmelka,G,13,2,114,975,1,0,2,2,vejmeka01
Kaapo Kähkönen,G,7,3,116,1023,1,0,1,4,kahkoka01
Kaapo Kähkönen,G,6,3,105,891,0,0,1,4,kahkoka01
Kaapo Kähkönen,G,1,0,11,132,1,0,0,0,kahkoka01
Philipp Grubauer,G,14,2,95,846,2,0,1,4,grubaph01
Adin Hill,G,19,2,89,890,2,0,1,0,hillad01
Jake Allen,G,12,4,114,973,0,0,1,2,allenja01
Jake Allen,G,6,3,74,612,0,0,1,2,allenja01
Jake Allen,G,6,1,40,361,0,0,0,0,allenja01
Darcy Kuemper,G,13,3,103,837,1,0,1,0,kuempda01
Arvid Söderblom,G,5,2,114,828,0,0,0,0,soderar01
Vítek Vaněček,G,17,3,95,767,0,0,1,0,vanecvi01
Scott Wedgewood,G,16,5,85,759,0,0,0,0,wedgesc01
Anton Forsberg,G,15,0,84,681,2,0,1,2,forsban01
Joel Hofer,G,15,1,72,758,1,0,1,4,hoferjo01
Casey DeSmith,G,12,6,80,679,1,0,1,0,desmica01
Semyon Varlamov,G,14,4,69,768,3,0,0,0,varlasi01
Jonathan Quick,G,18,2,69,702,2,0,1,8,quickjo01
Anthony Stolarz,G,16,2,51,633,2,0,2,2,stolaan01
Carter Hart,G,12,3,68,659,1,0,1,0,hartca01
Jonas Johansson,G,12,5,83,669,2,0,0,0,johanjo03
James Reimer,G,11,2,70,657,2,0,0,4,reimeja01
Joseph Woll,G,12,1,72,700,0,0,0,0,wolljo01
Kevin Lankinen,G,11,0,56,554,1,0,1,0,lankike01
Antti Raanta,G,12,2,63,430,1,0,0,0,raantan01
David Rittich,G,13,3,49,572,3,0,0,0,rittida01
Daniil Tarasov,G,8,3,73,723,0,0,0,0,tarasda02
Laurent Brossoit,G,15,2,45,575,3,0,0,2,brossla01
Devon Levi,G,10,2,67,599,0,0,0,0,levide01
Calvin Pickard,G,12,1,53,528,1,0,0,2,pickaca01
Cayden Primeau,G,8,4,66,665,2,0,2,2,primeca01
Martin Jones,G,11,1,56,518,2,0,0,0,jonesma02
Nico Daws,G,9,0,60,508,0,0,1,0,dawsni01
Daniel Vladař,G,8,2,68,506,0,0,0,0,vladada01
Ville Husso,G,9,2,60,496,0,0,1,0,hussovi01
Akira Schmid,G,5,1,48,409,0,0,2,2,schmiak01
Spencer Martin,G,7,2,59,474,0,0,0,0,martisp01
Spencer Martin,G,3,1,43,336,0,0,0,0,martisp01
Spencer Martin,G,4,1,16,138,0,0,0,0,martisp01
Dustin Wolf,G,7,1,50,417,0,0,0,0,wolfdu01
Frederik Andersen,G,13,0,28,382,3,0,1,0,anderfr01
Justus Annunen,G,8,1,30,384,2,0,0,0,annunju01
Ivan Prosvetov,G,4,1,26,222,0,0,0,0,prosviv01
Eric Comrie,G,2,0,32,222,0,0,0,0,comrier01
Magnus Chrona,G,1,1,37,225,0,0,0,0,chronma01
Jet Greaves,G,3,0,30,297,0,0,0,0,greavje01
Pheonix Copley,G,4,2,23,154,1,0,0,0,copleph01
Devin Cooley,G,2,1,25,167,0,0,0,0,coolede01
Jiří Patera,G,1,1,21,175,0,0,0,0,paterji01
Mads Søgaard,G,1,0,19,116,0,0,0,0,sogaama01
Matt Tomkins,G,3,1,20,165,0,0,0,0,tomkima01
Jack Campbell,G,1,0,20,137,0,0,0,0,campbja01
Calvin Petersen,G,2,0,18,114,0,0,0,0,peterca01
Felix Sandström,G,1,0,17,79,0,0,0,0,sandsfe01
Hunter Shepard,G,2,1,13,110,0,0,0,0,shepahu01
Arturs Silovs,G,3,1,10,74,0,0,0,0,silovar01
Ivan Fedotov,G,0,1,10,43,0,0,0,0,fedotiv01
Magnus Hellberg,G,1,0,5,59,0,0,0,0,hellbma01
Jesper Wallstedt,G,2,0,9,78,1,0,0,0,wallsje01
Yaroslav Askarov,G,1,0,2,33,0,0,0,0,askarya01
Chris Driedger,G,1,0,5,55,0,0,0,0,driedch01
Georgi Romanov,G,0,0,1,29,0,0,0,0,romange01
Matt Villalta,G,0,0,5,24,0,0,0,0,villama01
Kenneth Appleby,G,0,0,2,6,0,0,0,0,appleke01
Louis Domingue,G,1,0,1,25,0,0,0,0,dominlo01
Michael Hutchinson,G,0,0,3,33,0,0,0,0,hutchmi01
Matt Murray,G,1,0,0,23,1,0,0,0,murrama03
Yaniv Perets,G,0,0,0,1,0,0,0,0,peretya01
Malcolm Subban,G,0,0,3,32,0,0,0,0,subbama01
