Player,Pos,W,T/O,GA,SV,SO,G,A,PIM,-9999
Connor Hellebuyck,G,37,2,157,1807,4,0,0,0,helleco01
Juuse Saros,G,33,7,171,1928,2,0,1,0,sarosju01
Alexandar Georgiev,G,40,6,156,1748,5,0,1,0,georgal01
Jake Oettinger,G,37,11,144,1632,5,0,1,2,oettija01
Ilya Sorokin,G,31,7,140,1698,6,0,1,0,sorokil01
Jordan Binnington,G,27,6,194,1632,2,0,2,29,binnijo01
Andrei Vasilevskiy,G,34,4,159,1716,4,0,2,0,vasilan02
Jacob Markström,G,23,12,166,1376,1,0,2,14,marksja02
Igor Shesterkin,G,37,8,144,1575,3,0,1,2,shestig01
Darcy Kuemper,G,22,7,154,1520,5,0,0,4,kuempda01
Ville Husso,G,26,7,167,1436,4,0,0,0,hussovi01
Carter Hart,G,22,10,155,1510,2,0,0,0,hartca01
John Gibson,G,14,8,200,1783,1,0,2,12,gibsojo02
Vítek Vaněček,G,33,4,119,1214,3,0,3,2,vanecvi01
Sergei Bobrovsky,G,24,3,145,1321,1,0,0,2,bobrose01
Stuart Skinner,G,29,5,133,1403,1,0,2,0,skinnst01
Karel Vejmelka,G,18,6,168,1502,3,0,0,2,vejmeka01
Linus Ullmark,G,40,1,91,1366,2,1,0,2,ullmali01
Martin Jones,G,27,3,131,1014,3,0,0,0,jonesma02
Tristan Jarry,G,24,7,128,1286,2,0,2,2,jarrytr01
Marc-André Fleury,G,24,4,126,1241,2,0,1,2,fleurma01
James Reimer,G,12,8,147,1188,3,0,0,2,reimeja01
Jake Allen,G,15,3,145,1190,1,0,1,2,allenja01
Ilya Samsonov,G,27,5,96,1088,4,0,2,0,samsoil01
Jonathan Quick,G,16,6,127,953,2,0,0,4,quickjo01
Jonathan Quick,G,11,4,99,699,1,0,0,2,quickjo01
Jonathan Quick,G,5,2,28,254,1,0,0,2,quickjo01
Sam Montembeault,G,16,3,133,1212,0,0,0,0,montesa01
Philipp Grubauer,G,17,4,98,832,0,0,1,0,grubaph01
Filip Gustavsson,G,22,7,81,1092,3,0,1,0,gustafi01
Petr Mrázek,G,10,3,132,1116,0,0,2,4,mrazepe01
Joonas Korpisalo,G,18,4,104,1102,1,0,0,0,korpijo01
Joonas Korpisalo,G,11,3,82,844,0,0,0,0,korpijo01
Joonas Korpisalo,G,7,1,22,258,1,0,0,0,korpijo01
Casey DeSmith,G,15,4,109,1033,0,0,0,2,desmica01
Pheonix Copley,G,24,3,92,855,1,0,1,19,copleph01
Kaapo Kähkönen,G,9,7,135,1014,1,0,0,0,kahkoka01
Jeremy Swayman,G,24,4,76,877,4,0,0,2,swaymje01
Logan Thompson,G,21,3,96,1036,2,0,0,2,thomplo01
Jack Campbell,G,21,4,115,912,1,0,1,2,campbja01
Cam Talbot,G,17,2,95,840,1,0,0,0,talboca01
Frederik Andersen,G,21,1,82,767,1,0,1,0,anderfr01
Ukko-Pekka Luukkonen,G,17,4,115,939,0,0,1,2,luukkuk01
Thatcher Demko,G,14,4,99,906,1,0,1,4,demkoth01
Charlie Lindgren,G,13,3,86,767,0,0,1,0,lindgch01
Elvis Merzļikins,G,7,2,110,779,0,0,1,4,merzlel01
Spencer Martin,G,11,1,107,723,0,0,0,0,martisp01
Anton Forsberg,G,11,2,80,737,2,0,0,2,forsban01
Adin Hill,G,16,1,61,660,0,0,1,2,hillad01
Connor Ingram,G,6,8,89,871,1,0,0,2,ingraco01
Antti Raanta,G,19,3,58,586,4,0,0,0,raantan01
Alex Stalock,G,9,2,74,730,2,0,0,16,staloal01
Daniel Vladař,G,14,5,71,596,0,0,0,2,vladada01
Craig Anderson,G,11,2,76,747,1,0,1,2,andercr01
Matt Murray,G,14,2,74,687,1,0,0,0,murrama02
Jaroslav Halák,G,10,5,66,614,1,0,1,0,halakja01
Pyotr Kochetkov,G,12,5,57,570,4,0,0,0,kochepy01
Semyon Varlamov,G,11,2,60,629,2,0,0,0,varlasi01
Mackenzie Blackwood,G,10,2,60,503,0,0,0,2,blackma01
Brian Elliott,G,12,2,75,614,2,0,1,0,elliobr01
Thomas Greiss,G,7,0,65,561,1,0,0,0,greisth01
Spencer Knight,G,9,3,62,565,1,0,1,0,knighsp01
David Rittich,G,9,1,50,456,0,0,0,2,rittida01
Scott Wedgewood,G,9,3,51,552,1,0,0,0,wedgesc01
Collin Delia,G,10,2,62,464,0,0,1,0,deliaco01
Felix Sandström,G,3,3,69,506,0,0,0,0,sandsfe01
Eric Comrie,G,9,1,68,526,1,0,1,2,comrier01
Lukáš Dostál,G,4,3,67,612,0,0,0,0,dostalu01
Kevin Lankinen,G,9,1,49,534,0,0,0,2,lankike01
Anthony Stolarz,G,5,0,51,443,0,0,0,0,stolaan01
Mads Søgaard,G,8,3,58,466,0,0,1,0,sogaama01
Akira Schmid,G,9,2,32,376,1,0,0,0,schmiak01
Magnus Hellberg,G,5,1,50,397,0,0,0,0,hellbma01
Magnus Hellberg,G,1,0,2,29,0,0,0,0,hellbma01
Magnus Hellberg,G,4,1,48,368,0,0,0,0,hellbma01
Daniil Tarasov,G,4,1,57,471,0,0,1,0,tarasda02
Pavel Francouz,G,8,1,42,451,1,0,1,0,francpa01
Michael Hutchinson,G,2,3,54,378,0,0,1,0,hutchmi01
Alex Lyon,G,9,2,43,445,1,0,0,0,lyonal01
Alex Nedeljkovic,G,5,2,49,417,0,0,0,2,nedelal01
Arvid Söderblom,G,2,2,48,405,0,0,0,0,soderar01
Samuel Ersson,G,6,0,33,294,1,0,0,0,erssosa01
Laurent Brossoit,G,7,3,23,294,0,0,0,0,brossla01
Erik Källgren,G,3,4,25,221,0,0,0,0,kallger01
Calvin Petersen,G,5,2,34,223,0,0,0,0,peterca01
Devon Levi,G,5,0,21,201,0,0,0,0,levide01
Ivan Prosvetov,G,4,0,28,206,0,0,0,0,prosviv01
Joseph Woll,G,6,0,15,204,0,0,0,0,wolljo01
Joel Hofer,G,3,1,17,162,0,0,0,0,hoferjo01
Jaxson Stauber,G,5,0,17,174,0,0,0,0,staubja01
Joey Daccord,G,2,1,13,117,0,0,0,0,daccojo01
Arturs Silovs,G,3,0,14,138,0,0,0,0,silovar01
Aaron Dell,G,0,0,9,94,0,0,0,0,dellaa01
Dustin Tokarski,G,1,0,12,105,0,0,0,0,tokardu01
Jon Gillies,G,1,0,9,57,0,0,0,0,gillijo01
Jonas Johansson,G,2,0,5,68,0,0,0,0,johanjo03
Kevin Mandolese,G,1,0,10,109,0,0,0,0,mandoke01
Matt Murray,G,1,0,10,54,0,0,0,0,murrama03
Cayden Primeau,G,0,0,8,46,0,0,0,0,primeca01
Justus Annunen,G,1,0,7,41,0,0,0,0,annunju01
Dylan Ferguson,G,1,0,5,78,0,0,0,0,fergudy01
Eetu Mäkiniemi,G,1,1,3,29,0,0,0,0,makinee01
Leevi Merilainen,G,0,1,6,43,0,0,0,0,merille01
Jiří Patera,G,2,0,5,65,0,0,0,0,paterji01
Keith Kinkaid,G,1,0,2,38,0,0,0,0,kinkake01
Keith Kinkaid,G,1,0,1,30,0,0,0,0,kinkake01
Keith Kinkaid,G,0,0,1,8,0,0,0,0,kinkake01
Jett Alexander,G,0,0,0,0,0,0,0,0,alexaje01
Yaroslav Askarov,G,0,0,4,31,0,0,0,0,askarya01
Matthew Berlin,G,0,0,0,1,0,0,0,0,berlima01
Olle Eriksson Ek,G,0,1,5,34,0,0,0,0,eriksol01
Jet Greaves,G,0,0,3,46,0,0,0,0,greavje01
Anton Khudobin,G,0,0,6,22,0,0,0,0,khudoan01
Dylan Wells,G,0,0,1,12,0,0,0,0,wellsdy01
Dustin Wolf,G,1,0,1,23,0,0,0,0,wolfdu01
