Player,Pos,W,T/O,GA,SV,SO,G,A,PIM,-9999
Nico Daws,G,3,0,7,107,1,0,0,0,dawsni01
Dennis Hildeby,G,3,0,20,136,0,0,0,0,hildede01
Jaxson Stauber,G,2,1,17,141,1,0,0,0,staubja01
Dustin Tokarski,G,4,0,13,119,1,0,0,0,tokardu01
Akira Schmid,G,2,1,5,85,0,0,0,0,schmiak01
Drew Commesso,G,0,0,4,22,0,0,0,0,commedr01
Trent Miner,G,0,0,4,29,0,0,0,0,minertr01
Matt Murray,G,1,0,7,51,0,0,0,0,murrama02
Olivier Rodrigue,G,0,0,4,25,0,0,0,0,rodriol01
Jakub Skarek,G,0,0,5,34,0,0,0,0,skareja01
Mads Søgaard,G,1,0,8,32,0,0,0,2,sogaama01
Nikita Tolopilo,G,1,0,3,23,0,0,0,0,tolopni01
Jesper Wallstedt,G,0,0,8,43,0,0,0,2,wallsje01
Pheonix Copley,G,0,0,2,10,0,0,0,0,copleph01
Sebastian Cossa,G,1,0,2,12,0,0,0,0,cossase01
Louis Domingue,G,1,0,2,25,0,0,0,0,dominlo01
Brandon Halverson,G,0,0,5,19,0,0,0,0,halvebr01
Kaapo Kähkönen,G,0,0,4,16,0,0,0,0,kahkoka01
Niklas Kokko,G,0,0,2,4,0,0,0,0,kokkoni01
Tristan Lennox,G,0,0,1,1,0,0,0,0,lennotr01
Victor Ostman,G,0,0,0,12,0,0,0,0,ostmavi01
Yaniv Perets,G,0,0,1,6,0,0,0,0,peretya01
Erik Portillo,G,1,0,1,28,0,0,0,0,portier01
Hunter Shepard,G,0,0,7,19,0,0,0,0,shepahu01
Clay Stevenson,G,0,0,5,33,0,0,0,0,stevecl01
Ales Stezka,G,0,0,3,20,0,0,0,0,stezkal01
Matt Villalta,G,1,0,3,28,0,0,0,0,villama01
